,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Years_in_Service,Mileage_Category,Price_Category
0,1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,12.5,1,0,0,0,1,9,Low,10-15
1,2,Honda Jazz V,Chennai,2011,46000,First,13.0,1199.0,88.7,5.0,4.5,0,0,1,0,1,13,Low,<5
2,3,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,6.0,1,0,0,0,1,12,Medium,5-10
3,4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,17.74,1,0,0,1,0,11,Low,15-20
4,6,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,3.5,1,0,0,0,1,11,Medium,<5
5,7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,17.5,1,0,0,1,0,8,Low,15-20
6,8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,5.2,1,0,0,0,1,11,Medium,5-10
7,9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,74.0,5.0,1.95,1,0,0,0,1,12,Medium,<5
8,10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,9.95,0,0,1,0,1,6,Medium,5-10
9,11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,4.49,0,0,1,1,0,12,Low,<5
10,12,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,74.0,5.0,5.6,1,0,0,0,1,9,Medium,5-10
11,13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,27.0,1,0,0,1,0,10,Low,25-30
